Age,Gender,Daily_Steps,Calories_Consumed,Sleep_Hours,Water_Intake_Liters,Stress_Level,Exercise_Hours,BMI,Healthy_Lifestyle_Score
27,Female,6975,3088,6.1,2,Low,0.17,26.5,4
53,Male,10023,2246,8,2.4,Low,2.4,20.5,6
31,Male,1667,2774,10,3.2,High,0.24,30.5,1
48,Male,10337,3390,4.3,3.6,Low,2.24,23.8,9
32,Male,14659,2192,6.3,2.3,Low,0.81,17.4,3
25,Female,4719,3392,6.6,1.1,High,0.31,34.7,1
31,Female,8483,2248,7.2,1.5,Medium,0.19,29.3,2
40,Male,3539,1702,7.3,1.1,Low,1.28,20.6,6
57,Female,5964,3197,5.8,3,High,0.5,29.8,2
38,Male,5835,2020,6.8,2,Low,2.3,20,6
33,Female,7042,1851,6.4,2.6,Low,1.3,19,5
62,Female,1837,3470,8.4,2.5,Medium,0.28,32.1,1
35,Female,8312,1697,6.7,1.2,Low,0.39,22,8
64,Male,6320,2869,7.2,2.2,High,0.11,24.8,8
41,Male,4216,3402,6,1.7,Low,0.28,34.6,1
43,Female,8779,2271,6.9,2.3,Medium,1.5,24.1,8
42,Male,10308,2446,8,1.6,Low,1.24,23.4,9
62,Male,2581,2892,6.7,3.5,High,0.04,33.7,1
58,Male,10000,2612,7.3,1.5,Medium,1.38,20.3,8
46,Male,6713,3235,7.7,3.9,Low,0.37,31,1
32,Female,3639,1677,6.6,2.2,Medium,0.41,34.8,1
62,Female,8804,1954,6.1,3.5,High,0.68,23.4,7
18,Male,7222,2122,8.4,2.9,Medium,0.32,29.3,2
42,Female,10136,1619,7.1,3.2,Low,1.69,23.7,9
24,Female,8785,1804,5.3,3.3,High,0.24,22.7,8
26,Female,6124,2620,9,2.5,High,0.03,32,1
41,Female,8015,2150,4,2.6,Medium,1.48,26,4
18,Male,5193,2977,4.9,2.5,Medium,0.68,27.2,4
61,Male,9415,3443,5.9,2.8,Low,0.79,22.5,8
20,Male,10550,2600,7.7,1.5,High,1.5,16,7
41,Female,5512,1716,4.4,2.2,High,0.65,19.9,8
28,Male,5158,2858,4,2.8,High,1.36,30.4,3
34,Female,7970,1506,4.3,2.8,Medium,1.59,25.4,7
25,Female,7938,1841,4.4,3.4,Medium,0.55,22,7
52,Female,4772,3132,4.2,3,Medium,0,30.7,1
52,Male,9017,2014,6.4,4,Low,1.87,21.7,8
50,Female,3344,3075,6.9,1.9,Low,0,28.6,2
22,Female,8266,2700,5.4,2.1,Low,0.2,25.7,6
59,Female,6702,2589,6,2.2,High,0.13,28,3
56,Female,1384,3262,4.5,2.4,High,0.8,30.7,1
58,Male,1404,3294,5.7,3.5,Low,1.88,31.8,1
45,Female,8175,1329,6.6,1.7,High,0.67,15.4,1
24,Female,8158,1894,7.7,3.3,Medium,1.35,22.7,9
26,Male,10763,1955,4,2.2,Medium,0.82,19,3
25,Female,4384,2593,6.3,2.8,Medium,0.27,30.7,1
29,Female,10860,2634,5.5,2.9,Low,0.9,20.3,6
51,Male,8989,3016,8.3,2.1,High,0.23,23.7,9
50,Male,10106,2583,7.6,2.5,Low,2.41,18.6,5
40,Male,4044,3210,5.9,2.2,High,1.22,29.7,2
41,Male,8636,3065,6.4,1.2,Medium,0.38,21.3,6
54,Male,7916,3911,8.6,2.3,Low,0.86,29.3,2
52,Female,5809,3070,4.2,1.3,High,1.03,34.9,1
61,Male,8456,2814,7.5,2.2,High,0.5,19.7,4
57,Female,9444,1900,8,2.8,Low,1.86,19.8,6
39,Female,6997,1862,4.6,2.7,Low,1.53,24.1,8
44,Male,3048,3465,8.8,3,Low,0.26,32.8,1
52,Male,7338,2888,8,1.3,Low,0.38,22.1,8
18,Male,7100,2484,5.3,3,Medium,0.23,24.4,8
52,Female,5544,1939,6.9,1.9,High,0,19.6,3
54,Female,5976,2027,8.9,2.2,Medium,2.19,31.1,1
64,Female,3775,1955,8.4,3.6,Medium,1.08,25.2,6
31,Female,2015,2547,7,1,Medium,0,31,1
20,Male,4919,3363,8.5,2.8,High,0,33.4,1
18,Male,10430,2645,8.9,2.8,Low,2.03,22.3,8
22,Female,84239,2803,7.7,2.2,Low,0,31.8,1
43,Female,9489,2126,4.3,1.7,Low,2.2,19.5,5
31,Male,2633,2813,6,1.7,Medium,0,33.3,1
56,Female,6357,2850,8.2,3.7,Low,0,29.2,2
44,Male,9154,2805,5.2,2.3,High,0,32.9,1
26,Female,5363,1692,8.2,2,Low,1.64,18.5,6
32,Male,11176,2836,4.6,2.3,High,0.78,21.3,9
32,Female,8461,2445,4.2,3,Medium,1.86,24.9,8
43,Female,9427,2405,5.9,1.4,Low,2.04,24.8,8
59,Male,9580,2754,4.2,2.3,High,1.54,22.2,7
30,Male,5858,2400,8.8,2.8,Low,1.72,24.8,8
49,Male,6040,2135,8.1,3.8,Low,0.94,20.6,7
56,Male,6254,2834,8,1.8,Medium,0.35,25.3,7
